code_assistant_type;prompt_type;dataset_name;report_path;error_count;code_messages_missing_snippets;msg_count;analysis_message_limit;exception
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-32-52.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-33-35.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-34-22.pdf;1;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-35-34.pdf;2;0;4;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-36-34.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-37-17.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-38-42.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-39-50.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-40-42.pdf;1;0;2;8;[Errno 32] Broken pipe
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-43-13.pdf;0;2;8;8;
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-46-27.pdf;1;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-47-35.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-48-43.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-50-14.pdf;2;0;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-51-14.pdf;4;0;4;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-53-04.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-00-54-20.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-00-54-58.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-00-55-53.pdf;1;1;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-00-57-09.pdf;0;0;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-00-58-30.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-00-59-17.pdf;1;2;8;8;
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-00-39.pdf;5;1;4;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-01-37.pdf;1;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-03-16.pdf;6;0;6;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-04-23.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-05-22.pdf;1;0;4;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-05-51.pdf;0;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-06-37.pdf;2;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-07-40.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-08-49.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-09-57.pdf;0;1;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-11-00.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-11-45.pdf;1;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-12-32.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-13-33.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-14-57.pdf;0;0;3;8;timed out
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-15-44.pdf;1;0;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-17-34.pdf;0;0;1;8;timed out
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-18-15.pdf;0;2;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-18-55.pdf;0;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-19-40.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-20-39.pdf;2;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-23-47.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-24-51.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-25-34.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-26-11.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-26-53.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-27-49.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-29-14.pdf;1;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-30-23.pdf;0;1;7;8;[Errno 32] Broken pipe
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-33-42.pdf;1;3;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-35-18.pdf;1;0;2;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-36-10.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-37-03.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-38-41.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-40-22.pdf;1;0;4;8;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 16385 tokens. However, your messages resulted in 18117 tokens. Please reduce the length of the messages."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-41-13.pdf;0;0;3;8;[Errno 32] Broken pipe
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-43-25.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-45-36.pdf;5;2;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-47-27.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-48-43.pdf;0;0;3;8;timed out
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-49-42.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-50-20.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-51-05.pdf;0;0;1;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-51-51.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-01-53-05.pdf;2;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-01-54-52.pdf;0;0;3;8;timed out
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-01-56-15.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-01-57-48.pdf;0;0;1;8;timed out
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-01-58-43.pdf;0;2;8;8;
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-01-59-28.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-02-00-19.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-02-01-31.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-02-02-21.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-02-03-46.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-02-04-51.pdf;0;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-02-05-49.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-02-06-49.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-02-08-18.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-02-09-14.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-02-10-22.pdf;0;2;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-02-12-30.pdf;3;3;8;8;
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-02-14-05.pdf;2;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-02-15-28.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-02-16-42.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-02-17-34.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-02-18-26.pdf;2;3;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-02-20-57.pdf;0;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-02-21-48.pdf;0;0;1;8;Connection is already closed.
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-04-46-32.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-04-47-53.pdf;1;0;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-04-50-11.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-04-51-15.pdf;2;1;7;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-04-52-31.pdf;1;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-04-53-59.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-04-55-29.pdf;0;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-04-56-24.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-04-57-51.pdf;0;2;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-04-59-17.pdf;1;0;4;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-04-59-48.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-00-53.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-02-46.pdf;0;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-03-38.pdf;0;1;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-04-56.pdf;0;2;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-07-48.pdf;0;0;3;8;[Errno 32] Broken pipe
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-10-12.pdf;4;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-11-48.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-13-13.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-14-34.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-15-27.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-16-09.pdf;0;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-17-15.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-18-29.pdf;0;2;5;8;Invalid response or text not found
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-20-03.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-21-35.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-22-27.pdf;1;2;7;8;Expecting value: line 1 column 1 (char 0)
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-25-04.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-26-33.pdf;3;3;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-28-23.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-29-54.pdf;3;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-31-24.pdf;1;0;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-32-29.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-35-00.pdf;0;1;6;8;Connection error.
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-36-50.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-37-46.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-39-08.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-40-26.pdf;0;0;4;8;"Error code: 400 - {'error': {'message': ""This model's maximum context length is 16385 tokens. However, your messages resulted in 28310 tokens. Please reduce the length of the messages."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}"
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-41-05.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-42-12.pdf;2;0;4;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-43-10.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-43-54.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-45-14.pdf;0;0;7;8;Invalid response or text not found
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-46-25.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-47-13.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-48-32.pdf;0;0;1;8;timed out
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-49-13.pdf;1;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-50-52.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-51-54.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-52-46.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-05-54-34.pdf;1;0;3;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-05-55-51.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-05-56-44.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-05-57-47.pdf;0;0;1;8;timed out
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-05-58-21.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-05-59-33.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-06-01-09.pdf;0;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-06-01-53.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-06-02-48.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-06-03-49.pdf;1;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-06-05-32.pdf;1;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-06-06-37.pdf;0;0;1;8;timed out
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-06-07-15.pdf;1;0;5;8;Invalid response or text not found
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-06-08-30.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-06-09-19.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-06-10-29.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-06-11-43.pdf;0;2;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-06-13-54.pdf;0;0;5;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-06-15-11.pdf;1;0;3;8;[Errno 32] Broken pipe
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-06-19-35.pdf;4;0;2;8;Code assistant exceeded retry limit for code execution and could not fix the code for 3 consecutive times.
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-06-21-51.pdf;0;2;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-06-22-43.pdf;0;1;8;8;
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-06-24-30.pdf;0;1;7;8;Invalid response or text not found
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-06-25-15.pdf;0;2;8;8;
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-06-26-41.pdf;2;4;8;8;
LLaMA2ChatAssistant;FewShot;wine-quality.csv;reports/wine-quality_4_2024-01-24-06-27-50.pdf;0;4;8;8;
OpenAIAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_2_2024-01-24-06-28-59.pdf;0;0;8;8;
OpenAIAssistant;FewShot;wine-quality.csv;reports/wine-quality_5_2024-01-24-06-30-18.pdf;0;0;1;8;timed out
Mixtral8x7BAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_3_2024-01-24-06-31-05.pdf;0;2;8;8;
Mixtral8x7BAssistant;FewShot;wine-quality.csv;reports/wine-quality_6_2024-01-24-06-33-20.pdf;2;0;2;8;timed out
LLaMA2ChatAssistant;ZeroShot;wine-quality.csv;reports/wine-quality_1_2024-01-24-06-34-24.pdf;1;4;8;8;
